Date,Close/Last,Open,High,Low
08/16/2017,50.27,50.96,51.35,50.15
08/15/2017,50.80,50.65,51.10,50.03
08/14/2017,50.73,52.01,52.39,50.58
08/11/2017,52.10,51.92,52.27,51.31
08/10/2017,51.90,52.78,53.63,51.68
08/09/2017,52.70,51.83,52.82,51.83
08/08/2017,52.14,52.24,52.73,51.82
08/07/2017,52.37,52.38,52.56,51.37
08/04/2017,52.42,51.91,52.52,51.44
08/03/2017,52.01,52.29,52.87,51.79
08/02/2017,52.36,51.57,52.42,51.19
08/01/2017,51.78,52.67,52.93,50.88
07/31/2017,52.65,52.76,52.85,52.25
07/28/2017,52.52,51.58,52.67,51.31
07/27/2017,51.49,50.87,51.64,50.51
07/26/2017,50.97,50.76,51.03,50.08
07/25/2017,50.20,48.74,50.90,48.65
